catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail,identifier_warning,current_cusa,pricecharting_model_cusa,publication_status
ps4-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,PAL España,standard,call of duty advanced warfare,call of duty advanced warfare,GAME_OR_UNKNOWN,DEVELOPER,developer,Sledgehammer Games,sledgehammer-games,Sledgehammer Games,EXACT_NAME_OR_ALIAS,High Moon,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-advanced-warfare | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.wikidata.org/wiki/Q16743064,La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | Wikidata registra la compañía como desarrolladora.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA00851_00,CUSA00851_00,HIGH_REPLACEMENT_BLOCKED
ps4-call-of-duty-black-ops-4,Call Of Duty Black Ops 4,PAL España,standard,call of duty black ops 4,call of duty black ops 4,GAME_OR_UNKNOWN,DEVELOPER,developer,Treyarch Corporation,treyarch,Treyarch,EXACT_NAME_OR_ALIAS,"Treyarch, Beenox",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | WIKIDATA | WIKIPEDIA_PS4_LIST,B_LEGACY_EXACT_PHYSICAL | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-black-ops-4 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.wikidata.org/wiki/Q50376633,El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | Wikidata registra la compañía como desarrolladora.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA11100_00,,HIGH_REPLACEMENT_BLOCKED
ps4-call-of-duty-black-ops-iii,Call of Duty Black Ops III,PAL España,standard,call of duty black ops iii,call of duty black ops iii,GAME_OR_UNKNOWN,DEVELOPER,developer,Treyarch Corporation,treyarch,Treyarch,EXACT_NAME_OR_ALIAS,Beenox,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/388520 | https://www.wikidata.org/wiki/Q19789342 | https://gamesdb.launchbox-app.com/games/details/29237,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,HIGH_REPLACEMENT_BLOCKED
ps4-call-of-duty-modern-warfare-remastered,Call of Duty: Modern Warfare Remastered,PAL España,standard,call of duty modern warfare remastered,call of duty modern warfare,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Activision,activision,Activision,EXACT_NAME_OR_ALIAS,Sony Interactive Entertainment,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-modern-warfare-remastered | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA03522_00,,HIGH_REPLACEMENT_BLOCKED
ps4-call-of-duty-wwii,Call of Duty WWII,PAL España,standard,call of duty wwii,call of duty wwii,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Activision,activision,Activision,EXACT_NAME_OR_ALIAS,Sony Interactive Entertainment,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-wwii | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA08630_00,CUSA08630_00,HIGH_REPLACEMENT_BLOCKED
ps4-child-of-light-deluxe-edition,Child Of Light [Deluxe Edition],PAL España,standard,child of light,child of light,EDITION_VARIANT,DEVELOPER,developer,Ubisoft Montreal,ubisoft-montreal,Ubisoft Montreal | Ubisoft Montréal,EXACT_NAME_OR_ALIAS,Ubisoft,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,3,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/256290 | https://gamesdb.launchbox-app.com/games/details/20127,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,HIGH_REPLACEMENT_BLOCKED
ps4-coffee-talk,Coffee Talk,PAL España,standard,coffee talk,coffee talk,GAME_OR_UNKNOWN,DEVELOPER,developer,Toge Productions,toge-productions,Toge Productions,EXACT_NAME_OR_ALIAS,"Toge Productions, Chorus Worldwide",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,6,LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/coffee-talk | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/914800 | https://www.wikidata.org/wiki/Q85753234 | https://gamesdb.launchbox-app.com/games/details/473008,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,CUSA_STRONG_TITLE_REVIEW,CUSA18112_00,CUSA18112_00,IDENTIFIER_BLOCKED
ps4-constructor-plus,Constructor Plus,PAL España,standard,constructor plus,constructor plus,GAME_OR_UNKNOWN,DEVELOPER,developer,System 3,system-3,System 3,EXACT_NAME_OR_ALIAS,System 3 Software Ltd,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/898800 | https://www.wikidata.org/wiki/Q123456039,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA14620_00,,HIGH_REPLACEMENT_BLOCKED
ps4-dakar-18,Dakar 18,PAL España,standard,dakar 18,dakar 18,GAME_OR_UNKNOWN,DEVELOPER,developer,Bigmoon Entertainment,bigmoon-entertainment,Bigmoon Entertainment | BIGMOON ENTERTAINMENT,EXACT_NAME_OR_ALIAS,Bigmoon,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP4062-CUSA11741_00-BGMNDAKAR18000EU | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/767390 | https://gamesdb.launchbox-app.com/games/details/207517,"Developed by Bigmoon Entertainment, under license of Amaury Sport Organisation | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA11558_00,,HIGH_REPLACEMENT_BLOCKED
ps4-deponia-doomsday,Deponia Doomsday,PAL España,standard,deponia doomsday,deponia doomsday,GAME_OR_UNKNOWN,DEVELOPER,developer,Daedalic Entertainment,daedalic-entertainment,Daedalic Entertainment,EXACT_NAME_OR_ALIAS,Daedalic,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,2,STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/421050,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA13842_00,,HIGH_REPLACEMENT_BLOCKED
ps4-doom,Doom,PAL España,standard,doom,doom,GAME_OR_UNKNOWN,DEVELOPER,developer,Id Software,id-software,id Software,EXACT_NAME_OR_ALIAS,MachineGames,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT | PS4_RELEASE,5,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP1003-CUSA02092_00-DOOMEUROPEROWSKU | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/379720 | https://www.wikidata.org/wiki/Q189784 | https://gamesdb.launchbox-app.com/games/details/35284,"desarrollado por id Software | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA42287_00,,HIGH_REPLACEMENT_BLOCKED
ps4-doom-eternal,Doom Eternal,PAL España,standard,doom eternal,doom eternal,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,ZeniMax Media Inc.,zenimax-media-inc,ZeniMax Media Inc.,EXACT_NAME_OR_ALIAS,Bethesda Softworks,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,1,PRICECHARTING_EXACT_PAL_PAGE,B_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/doom-eternal,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA17933_00,CUSA17933_00,HIGH_REPLACEMENT_BLOCKED
ps4-efootball-pes-2021-season-update,eFootball PES 2021 Season Update,PAL España,standard,efootball pes 2021 season update,efootball pes 2021 season update,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Konami,konami,Konami,EXACT_NAME_OR_ALIAS,Konami Digital Entertainment,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/efootball-pes-2021-season-update | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA18648_00,,HIGH_REPLACEMENT_BLOCKED
ps4-ever-forward,Ever Forward,PAL España,standard,ever forward,ever forward,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,PM Studios,pm-studios,PM Studios,EXACT_NAME_OR_ALIAS,"Numskull Games Ltd., PM Studios",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/ever-forward | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA26435_00,,HIGH_REPLACEMENT_BLOCKED
