catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail
ps4-destiny-2-collector%27s-edition,Destiny 2 [Collector's Edition],PAL España,standard,destiny 2,destiny 2,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Activision,activision,Activision,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,PAL_RELEASE | PS4_PAL_PRODUCT_LINE,2,ACTIVISION_OFFICIAL_PRESS_RELEASE | WIKIPEDIA_PS4_LIST_PAL,A_PRIMARY_EXACT | B_PAL_RELEASE,https://investor.activision.com/news-releases/news-release-details/destiny-2-delivers-biggest-console-video-game-launch-week-year | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La nota oficial declara expresamente que Destiny 2 fue publicado y distribuido por Activision y enumera las ediciones Limited y Collector's. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.
ps4-destiny-2-limited-edition,Destiny 2 [Limited Edition],PAL España,standard,destiny 2,destiny 2,EDITION_VARIANT,DEVELOPER,developer,Bungie,bungie,Bungie,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,5,ACTIVISION_OFFICIAL_PRESS_RELEASE | LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_PRIMARY_EXACT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://investor.activision.com/news-releases/news-release-details/destiny-2-delivers-biggest-console-video-game-launch-week-year | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1085660 | https://www.wikidata.org/wiki/Q29045915 | https://gamesdb.launchbox-app.com/games/details/171656,"Activision identifica a Bungie como estudio de desarrollo de Destiny 2 y describe el lanzamiento de PS4 del 6 de septiembre de 2017. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-destiny-2-limited-edition,Destiny 2 [Limited Edition],PAL España,standard,destiny 2,destiny 2,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Activision,activision,Activision,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,PAL_RELEASE | PS4_PAL_PRODUCT_LINE,2,ACTIVISION_OFFICIAL_PRESS_RELEASE | WIKIPEDIA_PS4_LIST_PAL,A_PRIMARY_EXACT | B_PAL_RELEASE,https://investor.activision.com/news-releases/news-release-details/destiny-2-delivers-biggest-console-video-game-launch-week-year | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La nota oficial declara expresamente que Destiny 2 fue publicado y distribuido por Activision y enumera las ediciones Limited y Collector's. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.
ps4-destiny-2-promo-not-for-resale,Destiny 2 [Promo Not For Resale],PAL España,standard,destiny 2,destiny 2,PROMO_COPY,DEVELOPER,developer,Bungie,bungie,Bungie,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,5,ACTIVISION_OFFICIAL_PRESS_RELEASE | LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_PRIMARY_EXACT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://investor.activision.com/news-releases/news-release-details/destiny-2-delivers-biggest-console-video-game-launch-week-year | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1085660 | https://www.wikidata.org/wiki/Q29045915 | https://gamesdb.launchbox-app.com/games/details/171656,"Activision identifica a Bungie como estudio de desarrollo de Destiny 2 y describe el lanzamiento de PS4 del 6 de septiembre de 2017. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-destiny-2-promo-not-for-resale,Destiny 2 [Promo Not For Resale],PAL España,standard,destiny 2,destiny 2,PROMO_COPY,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Activision,activision,Activision,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,PAL_RELEASE | PS4_PAL_PRODUCT_LINE,2,ACTIVISION_OFFICIAL_PRESS_RELEASE | WIKIPEDIA_PS4_LIST_PAL,A_PRIMARY_EXACT | B_PAL_RELEASE,https://investor.activision.com/news-releases/news-release-details/destiny-2-delivers-biggest-console-video-game-launch-week-year | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La nota oficial declara expresamente que Destiny 2 fue publicado y distribuido por Activision y enumera las ediciones Limited y Collector's. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.
ps4-dirt-rally-20,Dirt Rally 2.0,PAL España,standard,dirt rally 2 0,dirt rally 2 0,GAME_OR_UNKNOWN,DEVELOPER,developer,Codemasters,codemasters,Codemasters,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP4001-CUSA12747_00-DIRTRALLY2EU0001 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/690790 | https://gamesdb.launchbox-app.com/games/details/177945,"Developed and published by Codemasters | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-dragons-dawn-of-new-riders,Dragons Dawn Of New Riders,PAL España,standard,dragons dawn of new riders,dragons dawn of new riders,GAME_OR_UNKNOWN,DEVELOPER,developer,Climax Studios,climax-studios,Climax Studios Ltd | Climax Studios,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | PS4_RELEASE,2,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT,A_OFFICIAL_EXACT_PRODUCT_CREDIT | C_DISCOVERY,https://store.playstation.com/es-es/product/EP3678-CUSA12945_00-HTTYD3BASEGAME01 | https://gamesdb.launchbox-app.com/games/details/207806,Developed by Climax Studios Ltd | LaunchBox registra esta desarrolladora para su ficha de PS4.,No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-ducati-90th-anniversary,Ducati : 90th Anniversary,PAL España,standard,ducati 90th anniversary,ducati 90th,EDITION_VARIANT,DEVELOPER,developer,Milestone srl,milestone-srl,Milestone SRL,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT,1,PLAYSTATION_STORE_EXPLICIT_CREDIT,A_OFFICIAL_EXACT_PRODUCT_CREDIT,https://store.playstation.com/es-es/product/EP4356-CUSA05245_00-DUCATIFULLGAME00,Developed by Milestone SRL All rights reserved,No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-farming-simulator-19,Farming Simulator 19,PAL España,standard,farming simulator 19,farming simulator 19,GAME_OR_UNKNOWN,DEVELOPER,developer,GIANTS Software,giants-software,GIANTS Software Gmbh | Giants Software,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,5,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP4133-CUSA11593_00-FARMINGSIMULAT19 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/787860 | https://www.wikidata.org/wiki/Q58897626 | https://gamesdb.launchbox-app.com/games/details/193195,"Developed by GIANTS Software Gmbh | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-flockers,Flockers,PAL España,standard,flockers,flockers,GAME_OR_UNKNOWN,DEVELOPER,developer,Team17 Digital Limited,team17-digital-limited,Team17 Digital Ltd | Team17 Digital Limited,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK,2,PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_OTHER_PLATFORM,https://store.playstation.com/es-es/product/EP4064-CUSA00854_00-FLOCKERSZZZZZZZZ | https://store.steampowered.com/app/260330,"Developed by Team17 Digital Ltd | Developed and published by Team17 Digital Limited | Developed by Team17 Digital Ltd 2014 | Developed and published by Team17 Digital Ltd | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-heart-&amp;-slash,Heart & Slash,PAL España,standard,heart and slash,heart and slash,GAME_OR_UNKNOWN,DEVELOPER,developer,aheartfulofgames,aheartfulofgames,Aheartfulofgames | aheartfulofgames | AHEARTFULOFGAMES,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_EXACT_PRODUCT_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP1160-CUSA04531_00-0000000000000000 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/326840 | https://gamesdb.launchbox-app.com/games/details/473282,"Developed by Aheartfulofgames | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-hogwarts-legacy,Hogwarts Legacy,PAL España,standard,hogwarts legacy,hogwarts legacy,GAME_OR_UNKNOWN,DEVELOPER,developer,Avalanche Software,avalanche-software,Avalanche Software,EXACT_NAME_OR_ALIAS,Avalanche Studios,REPLACE_OR_ADD_VERIFIED,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,4,HOGWARTS_LEGACY_OFFICIAL_SITE | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_EXACT_PRODUCT_CREDIT | A_PRIMARY_EXACT | B_OTHER_PLATFORM | B_PS4_RELEASE,https://www.hogwartslegacy.com/en-us | https://store.playstation.com/es-es/product/EP1018-CUSA12771_00-HOGWARTSLEGACY01 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/990080,"La web oficial acredita expresamente el software de Hogwarts Legacy a Avalanche Software y muestra la versión de PlayStation 4. | Developed by Avalanche Software | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-hogwarts-legacy-collector%27s-edition,Hogwarts Legacy [Collector's Edition],PAL España,standard,hogwarts legacy,hogwarts legacy,EDITION_VARIANT,DEVELOPER,developer,Avalanche Software,avalanche-software,Avalanche Software,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT,4,HOGWARTS_LEGACY_OFFICIAL_SITE | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | A_PRIMARY_EXACT | B_OTHER_PLATFORM | B_PS4_RELEASE,https://www.hogwartslegacy.com/en-us | https://store.playstation.com/es-es/product/EP1018-CUSA12771_00-HOGWARTSLEGACY01 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/990080,"La web oficial acredita expresamente el software de Hogwarts Legacy a Avalanche Software y muestra la versión de PlayStation 4. | Developed by Avalanche Software | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-hogwarts-legacy-deluxe-edition,Hogwarts Legacy [Deluxe Edition],PAL España,standard,hogwarts legacy,hogwarts legacy,EDITION_VARIANT,DEVELOPER,developer,Avalanche Software,avalanche-software,Avalanche Software,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT,4,HOGWARTS_LEGACY_OFFICIAL_SITE | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | A_PRIMARY_EXACT | B_OTHER_PLATFORM | B_PS4_RELEASE,https://www.hogwartslegacy.com/en-us | https://store.playstation.com/es-es/product/EP1018-CUSA12771_00-HOGWARTSLEGACY01 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/990080,"La web oficial acredita expresamente el software de Hogwarts Legacy a Avalanche Software y muestra la versión de PlayStation 4. | Developed by Avalanche Software | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.
ps4-hunting-simulator,Hunting Simulator,PAL España,standard,hunting simulator,hunting simulator,GAME_OR_UNKNOWN,DEVELOPER,developer,Neopica,neopica,Neopica,EXACT_NAME_OR_ALIAS,,ADD_MISSING,VERY_HIGH,YES,EXACT_PS4_PRODUCT | GAME_WORK | PS4_RELEASE,3,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | WIKIDATA,A_OFFICIAL_EXACT_PRODUCT_CREDIT | C_DISCOVERY,https://store.playstation.com/es-es/product/EP4008-CUSA07164_00-HUNTINGSIMULATOR | https://www.wikidata.org/wiki/Q52124656 | https://gamesdb.launchbox-app.com/games/details/447564,developed by Neopica | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.,No propagar a ports o compilaciones sin comprobar sus créditos propios.
