catalog_id,title,platform,region,role,current_company_slug,current_company_name,proposed_company_slug,proposed_company_name,action,confidence,evidence_summary,source_1,source_2,publication_gate
ps3-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,ps3,PAL_ES,publisher,square-enix,Square Enix,activision,Activision,REPLACE,VERY_HIGH,Square Enix's supported role is Japanese; PAL publisher should be Activision.,https://www.activision.com/games/call-of-duty/call-of-duty-advanced-warfare,https://www.jp.square-enix.com/game/detail/codaw/,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-usa-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,ps3,USA,developer,high-moon,High Moon,high-moon,High Moon Studios,RETAIN,HIGH,PS3 is the prior-generation port; retain High Moon only for PS3/Xbox 360 after exact-credit confirmation.,https://www.activision.com/games/call-of-duty/call-of-duty-advanced-warfare,,MANUAL_REVIEW_REQUIRED
ps3-usa-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,ps3,USA,publisher,,,activision,Activision,ADD_MISSING,VERY_HIGH,Activision is the non-Japanese publisher.,https://www.activision.com/games/call-of-duty/call-of-duty-advanced-warfare,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps4-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,ps4,PAL_ES,developer,high-moon,High Moon,sledgehammer-games,Sledgehammer Games,REPLACE,HIGH,The PS4/current-generation version belongs to Sledgehammer; High Moon handled prior-generation ports.,https://www.activision.com/games/call-of-duty/call-of-duty-advanced-warfare,https://www.xbox.com/nl-NL/games/store/call-of-duty-advanced-warfare/c5bh6mg77vt5,MANUAL_REVIEW_REQUIRED
ps4-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,ps4,PAL_ES,publisher,square-enix,Square Enix,activision,Activision,REPLACE,VERY_HIGH,Square Enix is supported only for Japan; this is a PAL row.,https://www.xbox.com/nl-NL/games/store/call-of-duty-advanced-warfare/c5bh6mg77vt5,https://www.jp.square-enix.com/game/detail/codaw/,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps4-usa-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,ps4,USA,developer,high-moon,High Moon,sledgehammer-games,Sledgehammer Games,REPLACE,HIGH,"The PS4/current-generation version belongs to Sledgehammer, not High Moon.",https://www.activision.com/games/call-of-duty/call-of-duty-advanced-warfare,https://www.xbox.com/nl-NL/games/store/call-of-duty-advanced-warfare/c5bh6mg77vt5,MANUAL_REVIEW_REQUIRED
ps4-usa-call-of-duty-advanced-warfare,Call of Duty Advanced Warfare,ps4,USA,publisher,square-enix,Square Enix,activision,Activision,REPLACE,VERY_HIGH,Square Enix's supported role is Japan-specific; this is a USA row.,https://www.xbox.com/nl-NL/games/store/call-of-duty-advanced-warfare/c5bh6mg77vt5,https://www.jp.square-enix.com/game/detail/codaw/,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps4-japon-call-of-duty-advanced-warfare,Call of Duty: Advanced Warfare,ps4,JAPAN,developer,high-moon,High Moon,sledgehammer-games,Sledgehammer Games,REPLACE,HIGH,The PS4 version is a current-generation Sledgehammer release.,https://www.activision.com/games/call-of-duty/call-of-duty-advanced-warfare,https://www.xbox.com/nl-NL/games/store/call-of-duty-advanced-warfare/c5bh6mg77vt5,MANUAL_REVIEW_REQUIRED
ps4-japon-call-of-duty-advanced-warfare,Call of Duty: Advanced Warfare,ps4,JAPAN,publisher,square-enix,Square Enix,square-enix,Square Enix,RETAIN_AS_REGIONAL_PUBLISHER,VERY_HIGH,Square Enix is valid here because this catalog row is Japanese.,https://www.jp.square-enix.com/game/detail/codaw/,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-skylanders-spyro%27s-adventure,Skylanders: Spyro's Adventure,ps3,PAL_ES,developer,xpec-entertainment,XPEC Entertainment,toys-for-bob,Toys for Bob,REPLACE,VERY_HIGH,Official Activision sources identify Toys for Bob as the console game's studio.,https://www.activision.com/games/skylanders/skylanders-spyros-adventure,https://investor.activision.com/static-files/9bda83fb-9cb4-4887-8aeb-5a4d70d96215,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-skylanders-spyro%27s-adventure,Skylanders: Spyro's Adventure,ps3,PAL_ES,publisher,square-enix,Square Enix,activision,Activision,REPLACE,VERY_HIGH,Activision announced and published the worldwide console release; Square Enix is imported territorial leakage.,https://investor.activision.com/static-files/9bda83fb-9cb4-4887-8aeb-5a4d70d96215,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-usa-skylanders-spyro-s-adventure,Skylanders Spyro's Adventure,ps3,USA,developer,,,toys-for-bob,Toys for Bob,ADD_MISSING,VERY_HIGH,Official Activision sources identify Toys for Bob.,https://www.activision.com/games/skylanders/skylanders-spyros-adventure,https://investor.activision.com/static-files/9bda83fb-9cb4-4887-8aeb-5a4d70d96215,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-usa-skylanders-spyro-s-adventure,Skylanders Spyro's Adventure,ps3,USA,publisher,,,activision,Activision,ADD_MISSING,VERY_HIGH,Official Activision release supports the USA publisher.,https://investor.activision.com/static-files/9bda83fb-9cb4-4887-8aeb-5a4d70d96215,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-splinter-cell-blacklist,Splinter Cell: Blacklist,ps3,PAL_ES,developer,ubisoft-toronto,Ubisoft Toronto,ubisoft-toronto,Ubisoft Toronto,RETAIN,VERY_HIGH,Ubisoft and its distribution listing identify Ubisoft Toronto.,https://store.steampowered.com/app/235600/Tom_Clancys_Splinter_Cell_Blacklist/,https://news.ubisoft.com/en-us/article/2xK7FikFTBzQ4Gv97IVMfl/from-splinter-cell-blacklist-to-far-cry-6-10-years-at-ubisoft-toronto-and-beyond,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-splinter-cell-blacklist,Splinter Cell: Blacklist,ps3,PAL_ES,publisher,square-enix,Square Enix,ubisoft,Ubisoft,REPLACE,VERY_HIGH,The PAL row inherited Square Enix from unscoped data; official listing names Ubisoft.,https://store.steampowered.com/app/235600/Tom_Clancys_Splinter_Cell_Blacklist/,https://news.ubisoft.com/en-us/article/2xK7FikFTBzQ4Gv97IVMfl/from-splinter-cell-blacklist-to-far-cry-6-10-years-at-ubisoft-toronto-and-beyond,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-usa-splinter-cell-blacklist,Splinter Cell: Blacklist,ps3,USA,developer,ubisoft-toronto,Ubisoft Toronto,ubisoft-toronto,Ubisoft Toronto,RETAIN,VERY_HIGH,Ubisoft identifies Blacklist as Ubisoft Toronto's first shipped game.,https://store.steampowered.com/app/235600/Tom_Clancys_Splinter_Cell_Blacklist/,https://news.ubisoft.com/en-us/article/2xK7FikFTBzQ4Gv97IVMfl/from-splinter-cell-blacklist-to-far-cry-6-10-years-at-ubisoft-toronto-and-beyond,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
ps3-usa-splinter-cell-blacklist,Splinter Cell: Blacklist,ps3,USA,publisher,,,ubisoft,Ubisoft,ADD_MISSING,VERY_HIGH,Official distribution listing names Ubisoft as publisher.,https://store.steampowered.com/app/235600/Tom_Clancys_Splinter_Cell_Blacklist/,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
gameboy-es-mystic-quest,Mystic Quest,gameboy,PAL_ES,developer,square-enix,Square Enix,square,Square,REPLACE,VERY_HIGH,The sibling source already names Square and Square Enix did not exist until April 2003.,https://www.hd.square-enix.com/eng/company/history.html,,ELIGIBLE_AFTER_CODEX_DIFF_AND_TESTS
