catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail,unresolved_reason
ps4-aggelos,Aggelos,PAL España,standard,aggelos,aggelos,GAME_OR_UNKNOWN,DEVELOPER,developer,Storybird Games,,Storybird Games,NOT_IN_COMPANY_INDEX,LookAtMyGame,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,2,STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/717310,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-agony,Agony,PAL España,standard,agony,agony,GAME_OR_UNKNOWN,DEVELOPER,developer,Madmind Studios,,Madmind Studios,NOT_IN_COMPANY_INDEX,Madmind Studio,REPLACE_OR_ADD_REVIEW,HIGH,NO,MATCHED_PS4_PRODUCT,1,PLAYSTATION_STORE_EXPLICIT_CREDIT,A_OFFICIAL_MATCHED_TITLE_CREDIT,https://store.playstation.com/es-es/product/EP3617-CUSA11622_00-AGONY00000000666,Developed by Madmind Studios,No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-agony,Agony,PAL España,standard,agony,agony,GAME_OR_UNKNOWN,DEVELOPER,developer,Madmind Studio,madmind-studio,Madmind Studio,EXACT_NAME_OR_ALIAS,Madmind Studio,RETAIN,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/agony | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/487720 | https://gamesdb.launchbox-app.com/games/details/201351,"El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED
ps4-ai-the-somnium-files,AI: The Somnium Files,PAL España,standard,ai the somnium files,ai the somnium files,GAME_OR_UNKNOWN,DEVELOPER,developer,Spike Chunsoft,,Spike Chunsoft | Spike Chunsoft Co Ltd. | Spike ChunSoft,AMBIGUOUS_NAME,Spike Chunsoft,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,5,LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/ai-the-somnium-files | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/948740 | https://www.wikidata.org/wiki/Q55602944 | https://gamesdb.launchbox-app.com/games/details/421791,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-ai-the-somnium-files-nirvana-initiative,AI: The Somnium Files: Nirvana Initiative,PAL España,standard,ai the somnium files nirvana initiative,ai the somnium files nirvana initiative,GAME_OR_UNKNOWN,DEVELOPER,developer,Spike Chunsoft,,Spike Chunsoft | Spike Chunsoft Co Ltd.,AMBIGUOUS_NAME,Spike Chunsoft,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,4,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/ai-the-somnium-files-nirvana-initiative | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1449200 | https://www.wikidata.org/wiki/Q107423158,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-ai-the-somnium-files-nirvana-initiative,AI: The Somnium Files: Nirvana Initiative,PAL España,standard,ai the somnium files nirvana initiative,ai the somnium files nirvana initiative,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Spike Chunsoft,,Spike Chunsoft,AMBIGUOUS_NAME,Numskull Games,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/ai-the-somnium-files-nirvana-initiative | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-ai-the-somnium-files-nirvana-initiative-collector%27s-edition,AI: The Somnium Files Nirvana Initiative [Collector's Edition],PAL España,standard,ai the somnium files nirvana initiative,ai the somnium files nirvana initiative,EDITION_VARIANT,DEVELOPER,developer,Spike Chunsoft,,Spike Chunsoft | Spike Chunsoft Co Ltd.,AMBIGUOUS_NAME,Spike Chunsoft,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,5,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/ai-the-somnium-files-nirvana-initiative-collector%27s-edition | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1449200 | https://www.wikidata.org/wiki/Q107423158,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-ai-the-somnium-files-special-agent-edition,AI: The Somnium Files [Special Agent Edition],PAL España,standard,ai the somnium files,ai the somnium files,EDITION_VARIANT,DEVELOPER,developer,Spike Chunsoft,,Spike Chunsoft | Spike Chunsoft Co Ltd. | Spike ChunSoft,AMBIGUOUS_NAME,,ADD_MISSING,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/948740 | https://www.wikidata.org/wiki/Q55602944 | https://gamesdb.launchbox-app.com/games/details/421791,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-air-conflicts-vietnam-ultimate-edition,Air Conflicts Vietnam [Ultimate Edition],PAL España,standard,air conflicts vietnam,air conflicts vietnam,EDITION_VARIANT,DEVELOPER,developer,Games Farm,games-farm,Games Farm,EXACT_NAME_OR_ALIAS,,ADD_MISSING,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | STEAM_STORE | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP4335-CUSA00456_00-AIRCONFLICTSVIET | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/233210 | https://gamesdb.launchbox-app.com/games/details/34757,"Developed by Games Farm | Desarrollado por Juegos Farm | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED
ps4-air-conflicts-vietnam-ultimate-edition,Air Conflicts Vietnam [Ultimate Edition],PAL España,standard,air conflicts vietnam,air conflicts vietnam,EDITION_VARIANT,DEVELOPER,developer,Juegos Farm,,Juegos Farm,NOT_IN_COMPANY_INDEX,,ADD_MISSING,HIGH,NO,MATCHED_PS4_PRODUCT,1,PLAYSTATION_STORE_EXPLICIT_CREDIT,A_OFFICIAL_MATCHED_TITLE_CREDIT,https://store.playstation.com/es-es/product/EP4335-CUSA00456_00-AIRCONFLICTSVIET,Developed by Games Farm | Desarrollado por Juegos Farm,No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-akiba%27s-trip-undead-&amp;-undressed,Akiba's Trip: Undead & Undressed,PAL España,standard,akiba s trip undead and undressed,akiba s trip undead and undressed,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,NIS America,,NIS America,AMBIGUOUS_NAME,Acquire,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/akiba%27s-trip-undead-&-undressed | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-akka-arrh-special-edition,Akka Arrh: Special Edition,PAL España,standard,akka arrh,akka arrh,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Atari,,Atari,AMBIGUOUS_NAME,Atari,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,2,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/akka-arrh-special-edition,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,AMBIGUOUS_NAME | HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG
ps4-alekhine%27s-gun,Alekhine's Gun,PAL España,standard,alekhine s gun,alekhine s gun,GAME_OR_UNKNOWN,DEVELOPER,developer,Haggard Games,,Haggard Games,NOT_IN_COMPANY_INDEX,Maximum Games,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,2,STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/406720,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-alien-isolation,Alien Isolation,PAL España,standard,alien isolation,alien isolation,GAME_OR_UNKNOWN,DEVELOPER,developer,Creative Assembly,,Creative Assembly,NOT_IN_COMPANY_INDEX,Creative Assembly,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/214490 | https://www.wikidata.org/wiki/Q15613717 | https://gamesdb.launchbox-app.com/games/details/21192,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
ps4-alien-isolation-evac-lifeboat-steelbook-edition,Alien: Isolation [EVAC Lifeboat Steelbook Edition],PAL España,standard,alien isolation,alien isolation,EDITION_VARIANT,DEVELOPER,developer,Creative Assembly,,Creative Assembly,NOT_IN_COMPANY_INDEX,,ADD_MISSING,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/214490 | https://www.wikidata.org/wiki/Q15613717 | https://gamesdb.launchbox-app.com/games/details/21192,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,HIGH_OR_BETTER_GROUP_NOT_FULLY_RESOLVED | MISSING_SLUG | NOT_IN_COMPANY_INDEX
