slug,company_name,game_count,role_kind,logo_file,logo_type,authentic_logo,confidence,requires_manual_review,selected_qid,selected_entity_label,entity_resolution_method,source_filename,source_page_url,image_source_url,source_license,source_license_url,source_credit,source_artist,official_websites,wikidata_url,wikipedia_es_url,wikipedia_en_url,regionatlas_url,company_inception,company_dissolved,parent_organization_qids,owner_qids,predecessor_qids,successor_qids,mime,width,height,sha256,notes
bandai-namco-entertainment,Bandai Namco Entertainment,333,both,company-logos/bandai-namco-entertainment.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,TRUE,Q1194689,Bandai Namco Entertainment,WIKIDATA_SEARCH_EXACT_LABEL,Bandai Namco logo (2022).svg,https://commons.wikimedia.org/wiki/File:Bandai_Namco_logo_(2022).svg,https://upload.wikimedia.org/wikipedia/commons/5/55/Bandai_Namco_logo_%282022%29.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work using: https://logos.fandom.com/wiki/Bandai_Namco_Entertainment ( archive link ),Bandai Namco Holdings Inc.,https://www.bandainamcoent.com | https://www.bandainamcoent.co.jp,https://www.wikidata.org/wiki/Q1194689,https://es.wikipedia.org/wiki/Bandai_Namco_Entertainment,https://en.wikipedia.org/wiki/Bandai_Namco_Entertainment,https://www.regionatlas.games/compania/bandai-namco-entertainment,+2006-03-31T00:00:00Z,,Q806259,Q806259,Q1781791 | Q309996,,image/svg+xml,1000,228,d5b9c721fdc404a528c26153bf6038caa7e283c033d0b753fda19a5ba1f00a37,Same authentic source file is used by multiple distinct Wikidata entities; verify shared group branding.
square-enix,Square Enix,320,both,company-logos/square-enix.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q207784,Square Enix,WIKIDATA_SEARCH_EXACT_LABEL,Square Enix logo.svg,https://commons.wikimedia.org/wiki/File:Square_Enix_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/Square_Enix_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Wiki-en . Erroneously uploaded as fair use. Because Per the United States Copyright Office: ""familiar symbols or designs; mere variations of typographic ornamentation, lettering, or coloring ... typeface as typefaces are not subject to copyright. Square Enix Store Also see Image_casebook Trademarks","User:GaeMFreeK , created by Square Enix",https://www.square-enix.com/ | https://www.jp.square-enix.com/,https://www.wikidata.org/wiki/Q207784,https://es.wikipedia.org/wiki/Square_Enix,https://en.wikipedia.org/wiki/Square_Enix,https://www.regionatlas.games/compania/square-enix,+1975-00-00T00:00:00Z,,Q11311474,,Q739552 | Q1343212,,image/svg+xml,322,34,81cd6768b71fdc729322c6cd50a9a2075814f9e3a65a0f4366d7c75c5d147ad1,
ea-sports,EA Sports,311,both,company-logos/ea-sports.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q869106,EA Sports,WIKIDATA_SEARCH_EXACT_LABEL,EA Sports monochrome logo.svg,https://commons.wikimedia.org/wiki/File:EA_Sports_monochrome_logo.svg,https://upload.wikimedia.org/wikipedia/commons/6/6f/EA_Sports_monochrome_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,http://logos.wikia.com/wiki/EA_Sports/Logo_Variations,Electronic Arts,https://www.easports.com/,https://www.wikidata.org/wiki/Q869106,https://es.wikipedia.org/wiki/EA_Sports,https://en.wikipedia.org/wiki/EA_Sports,https://www.regionatlas.games/compania/ea-sports,+1991-00-00T00:00:00Z,,Q173941,,,,image/svg+xml,1000,1000,ea4ee1a3d640d4a13e94275f99e36e5a5f4a10e90e6520ce5bfa04654ce6bb95,
thq,THQ inc,284,both,company-logos/thq.svg,WIKIMEDIA_DOCUMENTADO,TRUE,HIGH,FALSE,Q580866,THQ,WIKIDATA_SEARCH_LEGAL_SUFFIX_LABEL,THQ logo 2011.svg,https://commons.wikimedia.org/wiki/File:THQ_logo_2011.svg,https://upload.wikimedia.org/wikipedia/commons/9/96/THQ_logo_2011.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,http://www.thq.com/img/site/content/new_logo_splash/thq_logo.jpg,THQ. Original uploader was AxG at en.wikipedia,http://www.thq.com/,https://www.wikidata.org/wiki/Q580866,https://es.wikipedia.org/wiki/THQ,https://en.wikipedia.org/wiki/THQ,https://www.regionatlas.games/compania/thq,+1990-00-00T00:00:00Z | +1990-04-00T00:00:00Z,+2013-01-23T00:00:00Z,,,,,image/svg+xml,200,90,7906460a3c364a84222cc67737de97f4dd63eef17b7f9416ad5350a45e2ea618,
namco,Namco Ltd,278,both,company-logos/namco.svg,WIKIMEDIA_DOCUMENTADO,TRUE,HIGH,FALSE,Q309996,Namco,WIKIDATA_SEARCH_LEGAL_SUFFIX_LABEL,Namco logo.svg,https://commons.wikimedia.org/wiki/File:Namco_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/95/Namco_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work ( Original text: selbst vektorisiert ),Unknown author Unknown author,https://bandainamco-am.co.jp | https://www.namco.com.hk,https://www.wikidata.org/wiki/Q309996,https://es.wikipedia.org/wiki/Namco,https://en.wikipedia.org/wiki/Namco,https://www.regionatlas.games/compania/namco,+1955-06-01T00:00:00Z,+2006-03-31T00:00:00Z,Q806259,,,Q1194689 | Q111516144,image/svg+xml,800,110,bff8da15640114a587d92a1f32a768c4fb5aa213d6795bc5d31b23ba9002dfa0,
ea-canada,EA Canada,277,developer,company-logos/ea-canada.svg,PLACEHOLDER_GENERADO,FALSE,HIGH,TRUE,Q752317,EA Vancouver,MANUAL_REVIEWED_OVERRIDE,,,,,,,,https://www.ea.com/careers/careers-overview/vancouver/,https://www.wikidata.org/wiki/Q752317,https://es.wikipedia.org/wiki/EA_Vancouver,https://en.wikipedia.org/wiki/EA_Vancouver,https://www.regionatlas.games/compania/ea-canada,+1983-01-01T00:00:00Z | +1982-00-00T00:00:00Z,,Q173941,Q173941,,Q2044275,image/svg+xml,1200,600,3029d0de529bf09e0d6e945832ef9c4b962e975ccf08efddc3d6c3eb8662b772,former name of EA Vancouver | Useful history route only; do not substitute the Electronic Arts parent logo automatically. | Exact entity located but no documented logo claim was available.
taito,Taito Corporation,262,both,company-logos/taito.svg,WIKIMEDIA_DOCUMENTADO,TRUE,HIGH,FALSE,Q1054844,Taito,WIKIDATA_SEARCH_LEGAL_SUFFIX_LABEL,Taito logo.svg,https://commons.wikimedia.org/wiki/File:Taito_logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/16/Taito_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,http://www.taito.co.jp/,Taito Corporation,https://www.taito.co.jp,https://www.wikidata.org/wiki/Q1054844,https://es.wikipedia.org/wiki/Taito_Corporation,https://en.wikipedia.org/wiki/Taito,https://www.regionatlas.games/compania/taito,+1953-08-24T00:00:00Z,,Q745099 | Q11311474,Q207784,,,image/svg+xml,115,37,fe7414ea38754bdcf4a94c070e4ef7a347b17b37478b24b38f16108727d5e799,
sony,Sony,247,both,company-logos/sony.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q6014034,Sony,WIKIDATA_SEARCH_EXACT_LABEL,Sony logo.svg,https://commons.wikimedia.org/wiki/File:Sony_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Sony_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Sonyrtyyh Group Corporation,"Yasuo Kuroki, Sony",https://www.sony.co.jp/ | https://www.sony.net/,https://www.wikidata.org/wiki/Q6014034,,,https://www.regionatlas.games/compania/sony,+2001-10-01T00:00:00Z | +2021-04-01T00:00:00Z,,Q41187,,,,image/svg+xml,1280,225,f6191bc69f8df259c86a13dc9582ba9ed2e0101d4452ba3f1d33ec8e907ddda0,
acclaim,Acclaim Entertainment,231,both,company-logos/acclaim.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q339228,Acclaim Entertainment,WIKIDATA_SEARCH_EXACT_LABEL,Acclaim Entertainment logo.svg,https://commons.wikimedia.org/wiki/File:Acclaim_Entertainment_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Acclaim_Entertainment_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Own work ( Original text: selbst vektorisiert, Vorlage: offizielle Website )",Acclaim Entertainment,http://www.acclaim.com,https://www.wikidata.org/wiki/Q339228,https://es.wikipedia.org/wiki/Acclaim_Entertainment,https://en.wikipedia.org/wiki/Acclaim_Entertainment,https://www.regionatlas.games/compania/acclaim,+1987-01-01T00:00:00Z,+2004-09-01T00:00:00Z,,,,,image/svg+xml,1300,300,e4ed5160e349d471578d489778f5007613992ccba1da47238e4bfa61612a7a84,
bandai,Bandai,203,both,company-logos/bandai.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q507269,Bandai,WIKIDATA_SEARCH_EXACT_LABEL,Logo Bandai.svg,https://commons.wikimedia.org/wiki/File:Logo_Bandai.svg,https://upload.wikimedia.org/wikipedia/commons/4/48/Logo_Bandai.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,May be obtained from Bandai,Bandai/Shin Matsunaga,https://www.bandai.co.jp/,https://www.wikidata.org/wiki/Q507269,https://es.wikipedia.org/wiki/Bandai,https://en.wikipedia.org/wiki/Bandai,https://www.regionatlas.games/compania/bandai,+1950-07-05T00:00:00Z,+2005-00-00T00:00:00Z,Q806259,Q806259,,,image/svg+xml,256,250,4f0bc9caad225df6379bcdc9702e60ee1f6737e5e1978b1c81d5c28e7bdb4c51,
virgin-interactive,Virgin Interactive,191,both,company-logos/virgin-interactive.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q1481820,Virgin Interactive,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,,https://www.wikidata.org/wiki/Q1481820,https://es.wikipedia.org/wiki/Virgin_Interactive,https://en.wikipedia.org/wiki/Virgin_Interactive_Entertainment,https://www.regionatlas.games/compania/virgin-interactive,+1983-00-00T00:00:00Z,+2003-00-00T00:00:00Z,,,,,image/svg+xml,1200,600,384701488653cc6831aa67db43ff48ad65ad9de4a2081c699f9772381a291288,Exact entity located but no documented logo claim was available.
acclaim-entertainment,Acclaim Entertainment,190,both,company-logos/acclaim-entertainment.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q339228,Acclaim Entertainment,WIKIDATA_SEARCH_EXACT_LABEL,Acclaim Entertainment logo.svg,https://commons.wikimedia.org/wiki/File:Acclaim_Entertainment_logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Acclaim_Entertainment_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,"Own work ( Original text: selbst vektorisiert, Vorlage: offizielle Website )",Acclaim Entertainment,http://www.acclaim.com,https://www.wikidata.org/wiki/Q339228,https://es.wikipedia.org/wiki/Acclaim_Entertainment,https://en.wikipedia.org/wiki/Acclaim_Entertainment,https://www.regionatlas.games/compania/acclaim-entertainment,+1987-01-01T00:00:00Z,+2004-09-01T00:00:00Z,,,,,image/svg+xml,1300,300,e4ed5160e349d471578d489778f5007613992ccba1da47238e4bfa61612a7a84,
hudson-soft,Hudson Soft,182,both,company-logos/hudson-soft.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q1049502,Hudson Soft,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,http://www.hudson.co.jp,https://www.wikidata.org/wiki/Q1049502,https://es.wikipedia.org/wiki/Hudson_Soft,https://en.wikipedia.org/wiki/Hudson_Soft,https://www.regionatlas.games/compania/hudson-soft,+1973-05-18T00:00:00Z,+2012-03-01T00:00:00Z,Q45700,Q45700,,,image/svg+xml,1200,600,f75c39ac3a8158d3adfbfe6a7cc3ad561b264435b3760983b184581634d00964,Exact entity located but no documented logo claim was available.
rare,Rare Ltd.,176,both,company-logos/rare.svg,SITIO_OFICIAL_DOCUMENTADO,TRUE,VERY_HIGH,TRUE,Q642707,Rare Ltd.,WIKIDATA_SEARCH_EXACT_LABEL,logo-regular.svg,https://www.rare.co.uk/,https://www.rare.co.uk/images/logo/logo-regular.svg#inactive,Official-site asset; copyright/trademark status not explicitly licensed,,,,https://www.rare.co.uk/,https://www.wikidata.org/wiki/Q642707,https://es.wikipedia.org/wiki/Rare,https://en.wikipedia.org/wiki/Rare_%28company%29,https://www.regionatlas.games/compania/rare,+1985-00-00T00:00:00Z,,Q73801 | Q2283,Q73801,Q2605613,,image/svg+xml,819,1119,690f2da45564919b2c337dca15cb968a6ea76d62b7e89921a21e59b68f0bb41b,Official-site asset; copyright/trademark license was not explicitly stated and should be reviewed before publication.
nis-america,NIS America,171,publisher,company-logos/nis-america.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q106470371,NIS America,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,https://www.nisamerica.com/ | https://www.nisamerica.com/,https://www.wikidata.org/wiki/Q106470371,,,https://www.regionatlas.games/compania/nis-america,+2003-12-24T00:00:00Z,,Q1143659,,,,image/svg+xml,1200,600,803490378b139f74a7570f338bd8025b166261d4cd034ea9e4bd7351eb486db2,Exact entity located but no documented logo claim was available.
atlus,Atlus Co Ltd.,164,both,company-logos/atlus.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q780528,Atlus,MANUAL_REVIEWED_OVERRIDE,Atlus logo (2014).svg,https://commons.wikimedia.org/wiki/File:Atlus_logo_(2014).svg,https://upload.wikimedia.org/wikipedia/commons/1/19/Atlus_logo_%282014%29.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Own work using: https://www.atlus.co.jp/,"© Atlus, © Sega",http://www.atlus.co.jp/,https://www.wikidata.org/wiki/Q780528,https://es.wikipedia.org/wiki/Atlus,https://en.wikipedia.org/wiki/Atlus,https://www.regionatlas.games/compania/atlus,+2013-00-00T00:00:00Z,,Q122741 | Q1457152,,,,image/svg+xml,737,227,4478593c7128d2f9bdf9852f3d0ccb90bddf01663badbb0dd4b6767501e52a49,exact legal company name | Catalogue name Atlus Co Ltd. is an English alias of the exact entity.
sunsoft,SunSoft,162,both,company-logos/sunsoft.svg,WIKIMEDIA_DOCUMENTADO,TRUE,HIGH,FALSE,Q2298387,Sun Corporation,MANUAL_REVIEWED_OVERRIDE,Sunsoft logo.svg,https://commons.wikimedia.org/wiki/File:Sunsoft_logo.svg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Sunsoft_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,sun-denshi.co.jp ( direct image ),Sunsoft,https://www.sun-denshi.co.jp/,https://www.wikidata.org/wiki/Q2298387,https://es.wikipedia.org/wiki/Sunsoft,https://en.wikipedia.org/wiki/Sunsoft,https://www.regionatlas.games/compania/sunsoft,+1978-00-00T00:00:00Z,,Q127601113,,,,image/svg+xml,356,68,ac8685be9e418a780777430d57f57eefc97ecce4d243e9faf22ffb9c096c26aa,"video-game publishing brand identity | Selects the video-game publishing identity with a Sunsoft-specific logo, not the electronics-company logo."
codemasters,Codemasters,156,both,company-logos/codemasters.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q23901,Codemasters,WIKIDATA_SEARCH_EXACT_LABEL,Codemasters logo 2007 text-only.svg,https://commons.wikimedia.org/wiki/File:Codemasters_logo_2007_text-only.svg,https://upload.wikimedia.org/wikipedia/commons/8/8f/Codemasters_logo_2007_text-only.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,en:File:Codemasters logo.svg ( Original: https://www.codemasters.com/ ),Codemasters,http://www.codemasters.com/,https://www.wikidata.org/wiki/Q23901,https://es.wikipedia.org/wiki/Codemasters,https://en.wikipedia.org/wiki/Codemasters,https://www.regionatlas.games/compania/codemasters,+1986-00-00T00:00:00Z,,Q173941,Q173941,,,image/svg+xml,404,27,26f1d3c016d703af0363b03bca351f30a89b5e942c830792e83816b40df8b458,
data-east,Data East,156,both,company-logos/data-east.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q1172213,Data East,WIKIDATA_SEARCH_EXACT_LABEL,Data East Logo.svg,https://commons.wikimedia.org/wiki/File:Data_East_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Data_East_Logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,http://arcarc.xmission.com/Web%20Archives/vectorlib2.free.fr/Arcade_Logos/index.html#data_east with modifications by Patrick87,Data East Corporation,http://www.dataeast-corp.co.jp,https://www.wikidata.org/wiki/Q1172213,https://es.wikipedia.org/wiki/Data_East,https://en.wikipedia.org/wiki/Data_East,https://www.regionatlas.games/compania/data-east,+1976-04-20T00:00:00Z,+2003-06-25T00:00:00Z,,,,Q11320941,image/svg+xml,350,116,78ada27dc822ccb9e959fd1b37060d2d89f0ebc82f7b96b9dbdca227bf9fa1c0,
